18114:01,07,15,16,20,27,14
18115:01,13,19,24,26,29,11
18115:01,13,19,24,26,29,11
18116:05,14,17,22,23,28,15
18117:08,11,15,17,23,25,05
18118:08,12,21,22,27,31,09
18119:03,13,14,16,25,27,12
18120:03,04,18,26,27,33,01
18121:06,08,14,19,23,25,11
18122:05,07,20,22,30,32,10
18123:13,21,24,27,31,32,01
18124:09,13,14,19,22,25,02
18125:03,10,11,14,15,32,02
18126:01,06,08,09,14,22,05
18127:02,05,06,07,11,15,12
18128:06,07,08,19,22,23,02
18129:02,04,06,16,18,19,16
18130:05,12,17,18,24,28,12
18131:21,22,24,31,32,33,01
18132:01,02,09,10,15,22,06
18133:02,04,11,12,18,32,13
18134:03,16,18,31,32,33,12
18135:01,03,06,10,11,29,16
18136:10,12,15,25,26,27,14
18137:03,05,11,15,20,23,09
18138:01,10,25,27,30,32,09
18139:11,18,20,23,31,32,15
18140:01,15,20,22,25,28,14
18141:11,14,16,18,24,33,04
18142:05,08,10,11,27,28,11
18143:04,06,15,28,32,33,14
18144:08,13,17,18,20,27,13
18145:03,09,13,22,23,25,06
18146:02,10,11,17,18,29,16
18147:03,15,17,23,27,30,11
18148:03,06,18,19,21,31,01
18149:01,07,08,10,12,24,01
18150:06,08,15,19,20,31,05
18151:05,15,19,25,26,29,15
18152:04,14,16,23,28,29,03
18153:01,07,17,23,25,31,11
19001:06,10,13,15,32,33,15
19002:04,05,06,08,09,18,11
19003:13,17,20,21,22,27,01
19004:08,12,16,19,26,32,03
19005:21,22,26,28,31,32,07
19006:01,05,10,19,26,28,12
19007:06,10,14,15,19,23,15
19008:02,06,09,13,28,32,12
19009:01,07,10,22,31,32,15
19010:02,04,05,08,11,30,02
19011:10,13,19,21,24,30,07
19012:07,10,21,23,31,33,14
19013:05,07,14,16,18,21,01
19014:01,02,03,14,19,33,03
19015:11,15,16,20,24,31,04
19016:05,07,09,11,19,25,05
19017:04,05,24,28,30,33,09
19018:04,11,18,19,26,32,04
19019:03,11,17,18,24,25,06
19020:02,12,13,23,27,28,12
19021:02,05,07,08,20,27,04
19022:03,07,11,21,30,33,07
19023:01,10,14,15,18,31,13
19024:01,08,23,25,28,29,10
19025:15,16,21,27,30,33,04
19026:03,13,15,19,20,27,14
19027:02,06,08,10,11,17,13
19028:04,19,22,26,29,30,11
19029:08,11,17,23,32,33,10
19030:04,05,07,10,12,22,16
19031:03,13,15,18,21,33,16
19032:04,08,09,13,28,33,04
19033:09,15,19,21,23,29,15
19034:09,11,15,22,24,26,03
19035:01,05,07,09,10,20,16
19036:02,10,13,16,23,32,08
19037:01,07,12,14,18,25,10
19038:09,12,21,27,29,30,05
19039:06,07,11,14,27,32,08
19040:05,06,09,18,23,31,11
19041:02,09,13,23,24,26,16
19042:15,17,19,22,25,26,04
19043:01,06,12,13,24,32,13
19044:06,14,16,17,23,29,07
19045:01,06,17,19,27,31,14
19046:02,12,16,22,25,32,06
19047:03,11,18,25,30,33,14
19048:03,07,10,12,18,29,10
19049:03,10,13,22,23,28,15
19050:04,06,10,11,21,23,02
19051:08,09,10,13,15,28,09
19052:03,06,09,13,16,19,16
19053:04,16,22,25,29,31,08
19054:07,10,11,15,24,26,11
19055:01,06,11,15,19,31,10
19056:13,14,17,19,21,29,01
19057:04,05,06,08,13,18,16
19058:07,08,12,21,23,27,12
19059:04,05,07,09,16,18,06
19060:03,04,14,20,23,27,01
19061:03,17,19,24,27,31,12
19062:07,13,16,23,26,30,01
19063:01,14,19,22,29,31,16
19064:12,20,24,25,30,33,12
19065:06,09,11,15,20,26,10
19066:01,14,17,20,22,32,04
19067:04,06,08,11,30,33,11
19068:03,14,20,24,26,33,10
19069:06,11,16,19,21,25,01
19070:06,15,18,19,24,32,09
19071:01,08,19,24,29,30,04
19072:02,09,13,15,22,30,15
19073:01,02,06,12,16,18,08
19074:12,21,27,29,31,33,04
19075:05,08,20,22,31,33,03
19076:12,15,19,20,29,32,14
19077:09,11,13,18,21,22,15
19078:01,17,27,29,31,33,12
19079:01,03,06,09,19,31,16
19080:03,06,08,20,24,32,07
19081:05,24,27,29,31,32,10
19082:07,16,19,22,24,28,02
19083:06,15,17,26,28,31,03
19084:04,08,14,18,20,27,03
19085:01,04,14,18,24,29,04
19086:16,22,24,26,28,31,06
19087:04,05,07,09,21,30,04
19088:13,14,15,21,23,29,13
19089:02,04,14,16,20,22,11
19090:02,03,06,08,14,22,04
19091:07,10,21,24,29,32,11
19092:09,17,27,28,32,33,08
19093:05,07,08,09,20,22,02
19094:05,10,12,18,19,27,06
19095:02,05,14,19,21,28,01
19096:05,07,12,18,27,32,11
19097:03,05,18,24,25,31,09
19098:03,11,12,14,17,26,09
19099:07,14,22,23,27,30,08
19100:01,04,12,13,30,32,08
19101:01,04,09,21,31,33,05
19102:03,08,12,16,20,32,12
19103:04,12,14,21,27,29,12
19104:01,05,16,17,18,24,10
19105:02,13,15,17,26,33,01
19106:02,14,22,27,30,33,14
19107:02,06,08,23,27,32,02
19108:07,13,19,22,25,32,13
19109:03,06,07,17,28,31,10
19110:01,18,22,26,27,28,08
19111:07,18,20,22,24,33,01
19112:03,12,14,17,23,27,01
19113:01,05,19,21,25,33,15
19114:02,04,09,11,12,30,01
19115:04,10,11,14,15,29,05
